starttime	seconds	ctime	dtime	ttime	wait
Tue Jul 08 23:39:44 2025	1752007184	0	597	597	596
Tue Jul 08 23:39:38 2025	1752007178	0	598	598	412
Tue Jul 08 23:39:44 2025	1752007184	0	600	600	553
Tue Jul 08 23:39:42 2025	1752007182	0	600	600	542
Tue Jul 08 23:39:39 2025	1752007179	0	601	601	600
Tue Jul 08 23:39:43 2025	1752007183	3	599	602	599
Tue Jul 08 23:39:46 2025	1752007186	0	602	602	602
Tue Jul 08 23:39:46 2025	1752007186	0	602	603	535
Tue Jul 08 23:39:43 2025	1752007183	0	603	603	602
Tue Jul 08 23:39:47 2025	1752007187	0	603	603	602
Tue Jul 08 23:39:46 2025	1752007186	0	603	603	554
Tue Jul 08 23:39:45 2025	1752007185	0	603	603	588
Tue Jul 08 23:39:46 2025	1752007186	0	604	604	603
Tue Jul 08 23:39:41 2025	1752007181	0	604	604	601
Tue Jul 08 23:39:44 2025	1752007184	0	605	605	603
Tue Jul 08 23:39:47 2025	1752007187	0	604	605	598
Tue Jul 08 23:39:43 2025	1752007183	4	601	605	600
Tue Jul 08 23:39:44 2025	1752007184	0	605	605	604
Tue Jul 08 23:39:47 2025	1752007187	1	604	605	604
Tue Jul 08 23:39:46 2025	1752007186	0	605	605	500
Tue Jul 08 23:39:42 2025	1752007182	0	605	605	555
Tue Jul 08 23:39:38 2025	1752007178	7	598	605	597
Tue Jul 08 23:39:48 2025	1752007188	0	606	606	606
Tue Jul 08 23:39:47 2025	1752007187	0	606	606	606
Tue Jul 08 23:39:47 2025	1752007187	3	604	606	583
Tue Jul 08 23:39:47 2025	1752007187	0	607	607	606
Tue Jul 08 23:39:46 2025	1752007186	0	607	607	549
Tue Jul 08 23:39:39 2025	1752007179	0	606	607	606
Tue Jul 08 23:39:47 2025	1752007187	0	607	607	596
Tue Jul 08 23:39:46 2025	1752007186	0	607	607	607
Tue Jul 08 23:39:47 2025	1752007187	0	609	609	608
Tue Jul 08 23:39:40 2025	1752007180	1	609	610	535
Tue Jul 08 23:39:45 2025	1752007185	0	610	610	571
Tue Jul 08 23:39:47 2025	1752007187	0	610	610	609
Tue Jul 08 23:39:41 2025	1752007181	0	611	611	610
Tue Jul 08 23:39:43 2025	1752007183	0	612	612	239
Tue Jul 08 23:39:47 2025	1752007187	0	612	612	593
Tue Jul 08 23:39:44 2025	1752007184	0	612	612	611
Tue Jul 08 23:39:37 2025	1752007177	0	612	612	591
Tue Jul 08 23:39:46 2025	1752007186	0	612	612	612
Tue Jul 08 23:39:43 2025	1752007183	3	610	613	609
Tue Jul 08 23:39:45 2025	1752007185	0	613	613	612
Tue Jul 08 23:39:42 2025	1752007182	0	613	613	611
Tue Jul 08 23:39:42 2025	1752007182	0	614	614	614
Tue Jul 08 23:39:36 2025	1752007176	1	614	615	614
Tue Jul 08 23:39:39 2025	1752007179	0	615	615	615
Tue Jul 08 23:39:47 2025	1752007187	0	615	615	603
Tue Jul 08 23:39:44 2025	1752007184	0	616	616	615
Tue Jul 08 23:39:39 2025	1752007179	0	617	617	616
Tue Jul 08 23:39:47 2025	1752007187	0	616	617	609
