starttime	seconds	ctime	dtime	ttime	wait
Tue Jul 08 23:39:46 2025	1752007186	0	435	435	369
Tue Jul 08 23:39:47 2025	1752007187	0	435	435	309
Tue Jul 08 23:39:47 2025	1752007187	12	424	436	423
Tue Jul 08 23:39:46 2025	1752007186	0	437	437	436
Tue Jul 08 23:39:46 2025	1752007186	0	436	437	436
Tue Jul 08 23:39:45 2025	1752007185	0	437	437	435
Tue Jul 08 23:39:43 2025	1752007183	1	436	437	423
Tue Jul 08 23:39:35 2025	1752007175	9	431	439	430
Tue Jul 08 23:39:40 2025	1752007180	0	440	440	377
Tue Jul 08 23:39:42 2025	1752007182	0	440	440	370
Tue Jul 08 23:39:45 2025	1752007185	0	441	441	399
Tue Jul 08 23:39:47 2025	1752007187	0	441	441	438
Tue Jul 08 23:39:43 2025	1752007183	0	441	441	440
Tue Jul 08 23:39:42 2025	1752007182	0	442	442	421
Tue Jul 08 23:39:42 2025	1752007182	0	442	442	439
Tue Jul 08 23:39:43 2025	1752007183	0	442	442	442
Tue Jul 08 23:39:44 2025	1752007184	0	443	443	442
Tue Jul 08 23:39:46 2025	1752007186	0	443	443	443
Tue Jul 08 23:39:35 2025	1752007175	8	436	444	436
Tue Jul 08 23:39:46 2025	1752007186	2	442	444	440
Tue Jul 08 23:39:47 2025	1752007187	0	444	444	444
Tue Jul 08 23:39:46 2025	1752007186	0	445	445	444
Tue Jul 08 23:39:46 2025	1752007186	0	445	445	444
Tue Jul 08 23:39:46 2025	1752007186	0	446	446	445
Tue Jul 08 23:39:46 2025	1752007186	0	447	447	377
Tue Jul 08 23:39:48 2025	1752007188	0	447	447	382
Tue Jul 08 23:39:43 2025	1752007183	0	447	447	447
Tue Jul 08 23:39:47 2025	1752007187	0	447	447	426
Tue Jul 08 23:39:42 2025	1752007182	0	448	448	447
Tue Jul 08 23:39:44 2025	1752007184	0	448	448	447
Tue Jul 08 23:39:44 2025	1752007184	0	448	448	66
Tue Jul 08 23:39:41 2025	1752007181	0	448	449	441
Tue Jul 08 23:39:43 2025	1752007183	0	450	450	332
Tue Jul 08 23:39:46 2025	1752007186	0	450	450	334
Tue Jul 08 23:39:44 2025	1752007184	0	451	451	450
Tue Jul 08 23:39:46 2025	1752007186	0	451	452	450
Tue Jul 08 23:39:47 2025	1752007187	0	452	452	450
Tue Jul 08 23:39:43 2025	1752007183	0	452	452	452
Tue Jul 08 23:39:47 2025	1752007187	0	454	454	453
Tue Jul 08 23:39:46 2025	1752007186	0	454	454	340
Tue Jul 08 23:39:47 2025	1752007187	0	454	454	454
Tue Jul 08 23:39:46 2025	1752007186	0	455	455	452
Tue Jul 08 23:39:47 2025	1752007187	0	457	457	457
Tue Jul 08 23:39:46 2025	1752007186	0	458	458	402
Tue Jul 08 23:39:47 2025	1752007187	0	458	458	457
Tue Jul 08 23:39:42 2025	1752007182	0	458	458	457
Tue Jul 08 23:39:46 2025	1752007186	1	458	458	415
Tue Jul 08 23:39:44 2025	1752007184	0	458	458	458
Tue Jul 08 23:39:44 2025	1752007184	0	458	458	456
Tue Jul 08 23:39:44 2025	1752007184	0	459	459	458
Tue Jul 08 23:39:46 2025	1752007186	0	459	459	457
Tue Jul 08 23:39:36 2025	1752007176	0	460	460	234
Tue Jul 08 23:39:43 2025	1752007183	0	460	460	460
Tue Jul 08 23:39:44 2025	1752007184	0	461	461	435
Tue Jul 08 23:39:40 2025	1752007180	4	457	461	456
Tue Jul 08 23:39:43 2025	1752007183	0	461	461	461
Tue Jul 08 23:39:48 2025	1752007188	0	461	461	461
Tue Jul 08 23:39:47 2025	1752007187	0	462	462	461
Tue Jul 08 23:39:47 2025	1752007187	0	462	462	462
Tue Jul 08 23:39:43 2025	1752007183	0	462	462	462
Tue Jul 08 23:39:46 2025	1752007186	0	462	462	434
Tue Jul 08 23:39:41 2025	1752007181	0	464	464	464
Tue Jul 08 23:39:43 2025	1752007183	0	465	465	462
Tue Jul 08 23:39:48 2025	1752007188	0	466	466	466
Tue Jul 08 23:39:47 2025	1752007187	0	467	467	466
Tue Jul 08 23:39:46 2025	1752007186	0	467	467	467
Tue Jul 08 23:39:47 2025	1752007187	0	467	467	467
Tue Jul 08 23:39:47 2025	1752007187	0	468	468	465
Tue Jul 08 23:39:47 2025	1752007187	0	468	468	468
